Id,SessionDateTime,CustomerAction,CustomerId,BookId,Name,BookPrice,Quantity,TotalCharges,Transaction,OrderID
80469,00:30.6,Browsed,124,9335,Michael Schumacher,5,1,5,Cancelled,80A9F45B-17B3-4349-817F-F0F3908E1135
80470,00:30.6,Purchased,58,12411,Mastering the fundamentals of music,5,1,5,Completed,80A9F45B-17B3-4349-817F-F0F3908E1135
80471,00:30.6,Browsed,292,20113,Post-secular philosophy,5,1,5,Cancelled,80A9F45B-17B3-4349-817F-F0F3908E1135
80472,00:30.6,Purchased,450,2083,The human adventure,5,1,5,Completed,80A9F45B-17B3-4349-817F-F0F3908E1135
80473,00:30.6,Added to Cart,23,20695,Revealing art,5,1,5,Added to Cart,80A9F45B-17B3-4349-817F-F0F3908E1135
80474,00:30.6,Purchased,102,3079,Exploring music,5,1,5,Completed,80A9F45B-17B3-4349-817F-F0F3908E1135
80475,59:30.2,Added to Cart,195,5473,Africa's three religions,5,1,5,Added to Cart,7922391D-773F-423D-B2B3-4857BED1ABF1
80476,59:30.2,Browsed,427,20465,Feminist approaches to art therapy,5,1,5,Cancelled,7922391D-773F-423D-B2B3-4857BED1ABF1
80477,48:29.8,Browsed,319,14558,Art in action,5,1,5,Cancelled,C2E68A46-B5CC-4107-84F7-9CD3181F448E
80478,48:29.8,Added to Cart,401,13429,Psychology of motor learning,5,1,5,Added to Cart,C2E68A46-B5CC-4107-84F7-9CD3181F448E
80479,48:29.8,Browsed,434,10742,ANS COBOL programming,5,1,5,Cancelled,C2E68A46-B5CC-4107-84F7-9CD3181F448E
80480,48:29.8,Browsed,250,15110,The reference book,5,1,5,Cancelled,C2E68A46-B5CC-4107-84F7-9CD3181F448E
80481,48:29.8,Added to Cart,291,6134,World history,5,1,5,Browsed,C2E68A46-B5CC-4107-84F7-9CD3181F448E
80482,30:29.4,Purchased,486,15961,Modern Australian styles,5,1,5,Completed,A6E2B49F-9B82-47C3-8805-DF5D8A82C087
80483,30:29.4,Purchased,59,21250,White weddings,5,1,5,Completed,A6E2B49F-9B82-47C3-8805-DF5D8A82C087
80484,30:29.4,Browsed,314,9742,Evaluation of human service programs,5,1,5,Cancelled,A6E2B49F-9B82-47C3-8805-DF5D8A82C087
80485,30:29.4,Purchased,158,19677,Popular fiction,5,1,5,Completed,A6E2B49F-9B82-47C3-8805-DF5D8A82C087
80486,30:29.4,Browsed,66,19927,Political philosophy,5,1,5,Cancelled,A6E2B49F-9B82-47C3-8805-DF5D8A82C087
80487,30:29.4,Browsed,242,11972,Music  music  music,5,1,5,Cancelled,A6E2B49F-9B82-47C3-8805-DF5D8A82C087
